Customer_ID,attempt_Mean
1000001,52.33333333
1000002,263.3333333
1000003,9
1000004,3.666666667
1000005,222.3333333
1000006,702
1000007,0
1000008,97
1000009,533.6666667
1000010,6.666666667
1000011,19.66666667
1000012,9
1000013,0
1000014,1.333333333
1000015,344.6666667
1000016,67.66666667
1000017,138.3333333
1000018,53
1000019,225
1000020,62
1000021,760.3333333
1000022,47.33333333
1000023,323.6666667
1000024,95.66666667
1000025,74
1000026,26.33333333
1000027,175.6666667
1000028,343
1000029,284.6666667
1000030,14
1000031,3.333333333
1000032,41.66666667
1000033,22.33333333
1000034,32.33333333
1000035,17.33333333
1000036,409.3333333
1000037,71.33333333
1000038,34.66666667
1000039,95.66666667
1000040,33.66666667
1000041,127
1000042,30.66666667
1000043,39
1000044,5.666666667
1000045,26.66666667
1000046,176.3333333
1000047,43.66666667
1000048,193.6666667
1000049,21
1000050,82.66666667
1000051,11
1000052,127.3333333
1000053,45.33333333
1000054,428.6666667
1000055,14.33333333
1000056,71.33333333
1000057,134.6666667
1000058,0.333333333
1000059,8.666666667
1000060,14
1000061,58.66666667
1000062,162.6666667
1000063,231
1000064,710.3333333
1000065,69.66666667
1000066,32.66666667
1000067,209.3333333
1000068,736.3333333
1000069,130.6666667
1000070,131.3333333
1000071,263.6666667
1000072,40
1000073,12
1000074,242.6666667
1000075,471.3333333
1000076,325
1000077,468
1000078,3.333333333
1000079,24.66666667
1000080,105
1000081,392.6666667
1000082,0
1000083,994.6666667
1000084,110.3333333
1000085,399
1000086,448.3333333
1000087,125.3333333
1000088,149
1000089,220.3333333
1000090,92.33333333
1000091,69
1000092,118
1000093,124
1000094,101.6666667
1000095,158.3333333
1000096,23
1000097,83
1000098,525.3333333
1000099,338.6666667
1000100,117.3333333
1000101,123.3333333
1000102,404
1000103,181
1000104,273
1000105,43.66666667
1000106,43.33333333
1000107,99
1000108,326.3333333
1000109,261.3333333
1000110,624
1000111,94.66666667
1000112,136.3333333
1000113,2.333333333
1000114,271.6666667
1000115,447.3333333
1000116,105.3333333
1000117,118.3333333
1000118,597.6666667
1000119,269
1000120,0.666666667
1000121,17
1000122,0
1000123,199.6666667
1000124,475
1000125,5
1000126,186.6666667
1000127,118
1000128,991
1000129,383.3333333
1000130,136.6666667
1000131,403.3333333
1000132,141
1000133,132
1000134,162.3333333
1000135,187.6666667
1000136,7
1000137,119
1000138,125.6666667
1000139,282.6666667
1000140,152
1000141,20
1000142,382.6666667
1000143,971.3333333
1000144,133
1000145,1.666666667
1000146,205.6666667
1000147,72.33333333
1000148,349
1000149,166
1000150,411.6666667
1000151,22.66666667
1000152,79
1000153,230.3333333
1000154,377.6666667
1000155,0
1000156,253.3333333
1000157,99
1000158,122.3333333
1000159,299.3333333
1000160,82.66666667
1000161,23
1000162,232.3333333
1000163,84.66666667
1000164,47.66666667
1000165,298
1000166,70
1000167,34.66666667
1000168,336
1000169,79
1000170,95
1000171,120
1000172,294.3333333
1000173,317
1000174,383
1000175,0.333333333
1000176,411.6666667
1000177,0
1000178,567
1000179,1106.666667
1000180,66.66666667
1000181,311
1000182,533.6666667
1000183,176.3333333
1000184,17.33333333
1000185,13.66666667
1000186,253.6666667
1000187,21.33333333
1000188,376.6666667
1000189,669.3333333
1000190,218.6666667
1000191,812.3333333
1000192,114
1000193,236.3333333
1000194,106.6666667
1000195,0.666666667
1000196,118
1000197,724.3333333
1000198,16.66666667
1000199,0
1000200,1286.666667
1000201,18.66666667
1000202,0
1000203,912
1000204,17
1000205,142
1000206,132
1000207,53.66666667
1000208,11
1000209,156
1000210,626.3333333
1000211,360
1000212,244.6666667
1000213,403.6666667
1000214,97.33333333
1000215,104.3333333
1000216,490
1000217,0.666666667
1000218,2.666666667
1000219,353
1000220,0
1000221,350.6666667
1000222,32.33333333
1000223,14.33333333
1000224,392.3333333
1000225,0
1000226,0
1000227,119.3333333
1000228,85
1000229,681.6666667
1000230,230.6666667
1000231,342
1000232,0
1000233,166.6666667
1000234,44.66666667
1000235,153
1000236,48.33333333
1000237,114.3333333
1000238,155
1000239,883
1000240,2.666666667
1000241,162.6666667
1000242,228.6666667
1000243,444.3333333
1000244,137.3333333
1000245,0.333333333
1000246,24.33333333
1000247,796.6666667
1000248,70.33333333
1000249,186.3333333
1000250,245.3333333
1000251,836.3333333
1000252,72.66666667
1000253,13
1000254,301.6666667
1000255,254
1000256,68.66666667
1000257,424.3333333
1000258,174.3333333
1000259,171.3333333
1000260,105.3333333
1000261,202.3333333
1000262,263.3333333
1000263,199
1000264,165.3333333
1000265,72
1000266,525.6666667
1000267,7.666666667
1000268,354.3333333
1000269,743.6666667
1000270,380
1000271,140.6666667
1000272,68
1000273,69.66666667
1000274,329.6666667
1000275,205
1000276,7.666666667
1000277,135.6666667
1000278,136
1000279,575.3333333
1000280,87.66666667
1000281,9.666666667
1000282,668
1000283,61.33333333
1000284,419.6666667
1000285,85.66666667
1000286,11.66666667
1000287,199
1000288,2.666666667
1000289,107.6666667
1000290,13.33333333
1000291,42.66666667
1000292,293
1000293,235.3333333
1000294,19.66666667
1000295,165.6666667
1000296,457
1000297,0
1000298,0
1000299,32
1000300,360.6666667
1000301,926.6666667
